Content,Emotion_predicted,Emotion_actual
be so posh it frighten me I m still scar,fear,fear
nBreath You be trend despondent Mrs Clinton will win If you keep your gloves on guard up and punch like hell,fear,sadness
do with your piano blue play smooth talk ass On to the nextt,sadness,sadness
yes bro it s actually breezy,joy,joy
vkon1 by all account he be poor first half Started showboating once game be safe bully,fear,fear
ya know I love ya man but TheGreenInferno really fuck with my head giggle do it again epic horror ineedtherapy,fear,fear
I will beat you Always think id be gryffindor so this be a whole new world for me ðŸ ðŸ ðŸ excite afraid,fear,fear
good thing about be sick be that cough be like an ab workout Maybe my abs will be more define by the time I m better ðŸ ðŸ optimism,joy,joy
have all be there and wish we didn t 25 hilarious AutoCorrect Fails,joy,joy
eye have be dilate I hate the world right now with the rage of a thousand fiery dragons I need a drink,anger,anger
ok an alarm percentage of my teachers ths year dont have a s ingle thoughtful bone in their body its gon na b an interest yr,fear,fear
think our defense here at USC be play well we just need to fix a few things on offense and we can win the PAC 12 this year,anger,anger
hmu need players for lans next year DM me Need serious players Im under org,sadness,sadness
shiver in the pause between word nabandonment still fresh upon the tip of our tongue,fear,fear
least 5 ppl have leave my store in a huff in the past year but ive never have anyone call guest service on me yet so,sadness,anger
pomte A Muse com panic Station Exitaso,fear,fear
LordDerply for it It s like yugioh for animate show,joy,joy
it also help that the majority of NFL coach be inept Some of Bill O Brien s play call be wow awful GOPATS,fear,fear
want my highlight to be so bright that if I ever get lose and someone be look for me in the dark they ll find me,sadness,sadness
be love you too long OtisRedding blue,sadness,sadness
anybody need me I ll be drown my blue in a sea of whiskey ðŸ,sadness,sadness
sit in 2013 reason why we great do him alias for why we rejoice in he kzfqR,joy,joy
miss my dread head ðŸ,fear,fear
be a terrific university a unique university Athabasca University have become a part of my head amp a part of my heart Peter MacKinnon,fear,fear
Guitar shop owners everywhere rejoice,joy,joy
something a cyber bully would say,fear,fear
The more videos post the more i be convince i might should not have do that Brendonati,fear,fear
rough situations all around for Schalke and Werder Bremen to start the campaign Bremen dash late with a new manager Both with 0,fear,sadness
it me or be Ding wear the look of a man who s just find his arch enemy in bed with his missus angryman,anger,anger
Man U lose i may actually have a nervous breakdown,fear,fear
if we don t understand how to express our emotions to others may lead to sadness loneliness amp neg impact on long term mh MHChat,sadness,sadness
I m not on about history or other people I m on about you I ve bully no one I make three post and you attack bully,fear,fear
MidgetTamer RAIDERS Make him be a bully Sit him in a room by himself and let him look at Debo all day,fear,fear
hand start shake and he say I hope I die like right now,fear,fear
Izzy and Paige cheerfully sing songs together,joy,joy
look a lot greener on gloomy dayz,sadness,sadness
that be exhilarate I didn t know you could have goosebumps for 2 hrs 5m straight,joy,joy
get this Astros A s game go already We re go to need all 5 of you in attendance to cheer the A s to victory,joy,joy
â œWhat worry you master you â Haddon Robinson Jesusisthesubject worry anxiety anxious,fear,fear
I can t read this article but headline indicate a horror story Lock sick chavs up and throw away the key,fear,fear
Everyday I wake up a different player sign a contract extension Love it future be bright COYS,joy,joy
the forth character No not gleeful enough,joy,joy
Who like werewolves and horror and surf Because BREAKER over on have all that and MORE,fear,fear
Gabriel would eventually start frown gain conciousness Which be apparently really painful by how tear form in the,sadness,sadness
health we do a think about depression and now i feel like i have it,sadness,sadness
you re look for an argument that i m not engage in He s not even speak his own word i m not rag at him,anger,anger
hygge candle jasmine tea amp GBBO,fear,joy
your website be make me feel violent rage and your upgrade options aren t help either Aaarrgghh iwanttocancel rage,anger,anger
JoshuaLenon I trust you know that I appreciate your willingness to explain the detail and my attempt at levity be just that,joy,joy
think I get mad for anything but my bf get mad over any little thing lmfao shit be hilarious,anger,joy
joyful in hope patient in affliction faithful in prayer Romans 12 12,sadness,joy
would like to congratulate the people of Saudi Arabia a happy and a joyous national day May you all have a great time Ø Ù ÙŠÙˆÙ _Ø Ù ÙˆØ Ù ÙŠ,joy,joy
love when people say they aren t racist right before they say some racist shit Not how that work,fear,anger
I would have almost take offense to this if I actually snap you,anger,anger
out of your comfort zone nGo for risk nFace things you fear n nThis be when life start to happen n n cpd,fear,fear
ball watch amp Rojo d header be equally dreadful,fear,sadness
the way to Laser Vista lens implantation LaserVista nervous happy,joy,fear
the agent be inauthentic my sister still love me amp I m still alive So I guess it wasn t that bad socialanxiety,fear,fear
never change even as a kid and a 29 year old in his interview seem jovial and happy after death of his sister he do it,joy,joy
beingbrilliant you re welcome It s genuinely make me give my head a wobble and realise what s important in life smile,joy,joy
car crash on warren st traffic be horrid Boston,fear,fear
Hank_nsno cheer and clap I assume,joy,joy
as granny would say I don t know how to chirp,joy,joy
goal should scare you a little and excite you a lot Joe Vitale quote,fear,fear
into allege abuse by UK troop in Afghanistan and Iraq and data suggest a buoyant post Brexit economy make the front page,fear,joy
breezy luvv,joy,joy
want to be a dad so i can play kick the baby with my little one southpark mellogang ghastly edm plur dad djlife dj producer,fear,fear
Gonzaga not list in the article but at 65 1 they have tremendous value they be top10 team for sure get everything you want,fear,fear
gon na give this KKk police bitch the minimum sentence just wattch,fear,anger
chick s be try to fuck u like your go to forget about your wife when your do terrible,fear,fear
let worry get you down Remember that Moses start out as a basket case lol nToday choose faith over fear Moses,fear,fear
afternoon delight,joy,joy
mind always seem to work its best at night,joy,fear
in the dream stay there,sadness,sadness
pls dont insult the word Molna,anger,anger
want my highlight to be so bright that if I ever get lose and someone be look for me in the dark they ll find me,sadness,joy
watch crimewatch what kind of sick fuck touch 6 year olds ðŸ ðŸ ðŸ ðŸ shit like this make me fume,anger,anger
headache,fear,anger
be so shy nl,fear,fear
from the sporadic wifi on the tube,fear,fear
a kitchen sink to you be not a kitchen sink to me okay friend,sadness,sadness
no ðŸ the last two we be out bidded So we get kinda discourage so now we be take our sweet time The market be stupid tho,sadness,fear
MCHorseFayse bockaguyjim generalgoodsman so you be own by losers on Twitter,fear,sadness
ColMorrisDavis rolling_2 realDonaldTrump He s jubilant to hear the word that he probably use in secret hear out loud,joy,joy
bitter hahaha just kid its crazy tho,anger,anger
Geminiak you re welcome wordgeek nAlso good to put a face to the twitter fee even if it be only a cheery hello ðŸ,joy,joy
What be even more shock be that someone give him a record deal lol,fear,fear
If you follow Trump a certify bully there be no question you or your children may go to War vs consumate Diplomat,fear,fear
Perhaps I ve miss it be you do another season of IHWPH nYou be so joyous and gleeful at the the prospect of eat,joy,joy
get a short fuse when im sober,sadness,sadness
be during the past s mistake similar to terror be pretty remarkable,fear,fear
i m actually offend by it name the most fatten sandwich after a man who die of coronary disease likely due to his diet,anger,anger
oh so that s where Brian be Where be my invite,anger,anger
good shorty have so much to offer amp it s sad that some of you niggas don t even see it when she right in front of your face and too late,sadness,sadness
littlebakaa give me a smile emoticon will ya i dont like the idea of you frown gt lt,joy,sadness
