Content,NB_Emotion_Predicted,SVM_Emotion_Predicted,KNN_Emotion_Predicted,Emotion_Actual
the foundational key all success Pablo Picasso inspire quote action hustle dosomething success,fear,fear,fear,fear
here again restless,fear,fear,fear,fear
can stop smile,joy,joy,joy,joy
don know try not fret sweet little pupper,sadness,sadness,sadness,sadness
therealkers awe miss your sweet smile Come visit and sometime when not all workingðŸ,joy,joy,fear,fear
direction play hale and hearty situation child evolvement CMmyd,joy,joy,fear,joy
Valley win home competitive cheer invite with score 158 Dell Rapids second 138,sadness,joy,fear,joy
insist that you give your best insult first,anger,anger,anger,anger
internationaldayofpeace everyone hop that the world become better place less division more happiness keep smile,joy,joy,fear,joy
hope you never day without something make you smile You deserve all good things Please follow šðŸ n311 553,joy,joy,joy,joy
burn out keep yourselves fuel and aflame alert servants the Master cheerfully expectant Romans,joy,anger,joy,joy
Are you worry worry n1Peter nThrow all your worry him because care for you faith leadership worry mindfuâ,fear,fear,fear,fear
have leave Maine sadness,sadness,sadness,sadness,sadness
Hey how find play history new ios10 appleMusic music lose,sadness,sadness,sadness,sadness
out wasn even anything concern about all happy and bite frustrate take long get this answer,anger,fear,fear,joy
not that the man not know how juggle just didn have the ball funny pun punny lol,joy,joy,joy,joy
shit about this tattoo nervous,fear,fear,fear,fear
she would frown bite fold her arm why that every time need assistance someone expect lil,sadness,sadness,fear,anger
hate not have the answer need tomourssuck prayinsnotcancer angry,anger,anger,fear,anger
your life yell Surprise surpriise chirp cheerfully with wicked grin his lips,joy,joy,joy,joy
SPARKLES proud little huff Still pose mind you,joy,joy,anger,anger
The hilarity you people not realise that racism racism regardless whether one use choice word hilarious,joy,joy,fear,joy
lmao can only imagine the frown across that face yours Hilarity,sadness,sadness,anger,sadness
You interview one irate group two filmmakers who don live here and get stock statements That not journalism,fear,fear,anger,anger
make post like open commission hour get slot while you can and like sit here awe that sort demand,fear,fear,fear,fear
nation with large part the population live fear the police neither great nor free actually fascist nation,fear,fear,fear,fear
just have steak pie supper tremendous,fear,fear,fear,fear
start glee from the begin cry they such baby love children,joy,joy,fear,joy
Loving Speechless_ABC far Just hilarious and wonderful hilarious Bravo,joy,joy,joy,joy
make him feel vigorous Fine You can kill now Said Hestia with display only despair rather than her joyful,joy,joy,fear,sadness
tell order will ship Sept arrive Sept Today the lie terrible whereismyfurniture,fear,fear,fear,fear
BOOK FRICKING INSANE LIKE HOLY CRAP panic,fear,fear,fear,fear
give cheerfully and accept gratefully everyone bless Maya Angelou,joy,joy,joy,joy
That lovely story actually see Ruth and hubby who win the cashcow funny when she leave the phone happy,sadness,joy,fear,joy
you need any assistance with your concern can resolve feel free email with your info,fear,fear,fear,fear
fear most usually what most need Tim Ferriss inspire inspire motivation fear success hustle,fear,fear,fear,fear
your journey unique Don get discourage because you compare your journey someone else You will get there,sadness,sadness,sadness,fear
yea lol catchy you fret,sadness,sadness,sadness,sadness
could have see her local mall any school football game dishearten,sadness,sadness,anger,sadness
nIsn OBrien suppose some sort offensive genius awful,fear,fear,fear,fear
You get watch the new series This wow Best show see long time tear laughter moretears,joy,joy,joy,joy
dont have feel grateful grateful for write all things work together for good for those who love God cheerful,joy,joy,joy,joy
