content,sentiment_predicted,sentimentActual
you serious that fredsirieix live in Peckham South London s own Love Guru big up,joy,sadness
tell myself i wouldn t talk about this but i need to bring it up I m slightly bitter about the tÃ p cover of cancer,sadness,anger
sure know how to send a wild shiver down your spine,fear,fear
We re in contain depression Only new economic engine be Sustainability say Joel makower markmykleby VERGEcon NewGrandStrategy,fear,sadness
88Palouseriver ABC I rejoice everything time some moron be take out of the genetics pool,fear,joy
don t think I can go to work tomorrow since val have leave GBBO I need a day to mourn,fear,sadness
get so nervous for my first anatomy exam ðŸ,anger,fear
Look at these narcoleptic puppies Make you smile If you be human amp find yourself in such odd position seek thâ,joy,joy
I m watch joyful noise for 100 time cuz I love this movie and,fear,joy
rejoice in follow your statutes as one rejoice in great riches Psalm 119 14 TheBible,fear,joy
have the worst road rage I have ever see and she get so mad when I put my hand on her windows lol,anger,anger
understand reason for Muslim countries cite terrorism as reason for not take refugees Aren t terror attack against infidels,anger,fear
moment you bring her to meet your best friend and you re nervous af ðŸ ðŸ nervous thefriendtest,fear,fear
philjame5 wow that look bright,sadness,joy
Defo a hearty root veg gratin Nice comfort food as Autumn kick in,joy,joy
almost all of my mutuals intimidate me at some point or still do,joy,fear
afraid of all the same things,sadness,fear
need to tell Candice she ll be stick with that shitty pout if the wind change GBBO,sadness,sadness
hate be shy ðŸ,anger,fear
harbor Osama bin Laden to its relationship with Haqqani network there be enough evidence to prove Pakistan be sponsor terrorism,sadness,fear
this news I m suppose to be so damn happy and rejoice but I m here like ðŸ ðŸ ðŸ ðŸ ž,fear,joy
last madden commercial ðŸ ðŸ ðŸ ðŸ ðŸ ðŸ TNF,fear,anger
be cheerful smile often make others happy care for others help who feel helpless and vulnerable Life feel good leadership,sadness,joy
stay up all night long nMade our drink too strong nFeeling ten feet tall nRopes swing into the water nIn the middle of the night,anger,sadness
ajjaffe MattMurph24 I be under the impression that stop and frisk be a concern to many in NYC Didn t deBlasio rein it in,fear,fear
I can t have alcohol on it sadly but it only flare up under very specific circumstances so I just need to be more careful,anger,sadness
Happy birthday sweety sweet 21 hun hope u have a wonderful day and a wondrful joyful year better than the last one Luv U â,joy,joy
depress,joy,sadness
Everyday I wake up a different player sign a contract extension Love it future be bright COYS,fear,joy
can see how this will end nIn all its bitter tragedy nI ll give you all I have to spend nAnd you ll give nothing back to me,fear,anger
I tell her I wasn t fight her Bc I m not trashy and she keep tryna threaten me lmfao,sadness,fear
red card for Gordon there The ref must be a Celtic fan as that be a shock challenge,fear,fear
Actually wait I do the constant outrage thing get on my wick sometimes and it happen to flick my annoyance today,fear,anger
that s me all the time I carry ginger candy peppermint oil and sea band at all time,joy,fear
might have hysteria i don t kno if it s just anxiety or both need a diagnosis cuz somethin be mess up need ert bu i nvr come out,sadness,fear
lively be flawless,anger,joy
mom record nightmare before Christmas for me ðŸ ðŸ ðŸ I LOVE IT ðŸ,anger,fear
short hair make me sad glee,sadness,joy
terrible Paul so deserve that win movie ChildrenOfMen n n cage refugees,anger,fear
be just too damn earnest for early morning listen sting,anger,anger
my hair again,joy,fear
it s exhilarate,sadness,joy
view of the human be be as a dynamic expression of the Cosmos we exist within humanism,joy,fear
feel you get when you know the information but scar you might do bad on a test collegelife nervous ðŸ ðŸ,fear,fear
Watch this amaze live ly broadcast by lively musically,joy,joy
an egg be grim you be eat the material embodiment of a fart and an unborn chick,fear,sadness
while be animate much more recently technology wise which make for a very nice combination look,joy,joy
I really wish I could attend the show at RCMH I m there in spirit cheer you and the dudes on,sadness,joy
I may have to induce these seed of mine to sleep restless,sadness,fear
both scrap ll the rage instead,fear,anger
